ID_genome_file,Mean_grey0C_08dpi,Mean_grey0C_12dpi,Mean_grey0C_15dpi,Mean_grey0C_19dpi,Mean_grey18C_08dpi,Mean_grey18C_12dpi,Mean_grey18C_15dpi,Mean_grey18C_19dpi,Mean_grey30C_08dpi,Mean_grey30C_12dpi,Mean_grey30C_15dpi,Mean_grey30C_19dpi
ST90ORE_a15_4A_7,155.453796296296,129.386002645503,85.1798518518519,67.2577925925926,145.654165079365,103.0578,76.3526111111111,73.5341333333333,150.723805555556,122.125352380952,80.6865205128205,69.1223388888889
ST99CH_SW5,144.7117,NA,115.054211111111,102.548777777778,146.495583333333,NA,119.288833333333,102.348666666667,148.279,NA,137.263,107.696
ST99CH_SW39,141.488666666667,93.1535555555556,89.6755555555556,89.2781666666667,125.539,82.169375,80.715875,82.223,NA,NA,NA,NA
ST99CH_3A10,126.114,73.037,71.3586666666667,79.8966666666667,119.393122222222,70.6012888888889,76.8412507936508,71.1275,109.614421693122,78.3236666666667,83.534329004329,69.3399153439154
ST99CH_3A2,147.193838095238,124.77996969697,121.824272222222,114.635166666667,147.293685714286,119.959201058201,115.23927026677,118.028440285205,153.747076388889,118.564385714286,97.0365214285714,79.2780833333333
ST99CH_3A5,156.793486111111,132.840472222222,118.003166666667,93.26975,155.935737268519,126.896575908988,105.06033994709,87.9106061538461,NA,NA,NA,NA
ST99CH_3A6,148.94140952381,93.0518518518519,90.214871031746,87.6676428571429,146.73620770202,97.2960006313131,99.032268013468,92.9732658730159,146.884239766082,94.8756203703704,88.7564629299531,81.5923074509804
ST99CH_3A8,156.321666666667,146.657416666667,103.151366666667,101.428125925926,153.86675,135.62075,79.969125,83.308375,156.341755555556,137.519644444444,105.077155555556,106.179111111111
ST99CH_3A9,155.106577777778,130.962172161172,89.5323482905983,83.7341436896437,152.179296296296,132.351893162393,91.1742708333333,80.3258662644545,157.021041666667,138.696888888889,99.3070222222222,67.6845444444444
ST99CH_3B2,134.239916666667,91.817625,94.578875,83.33975,115.855359848485,90.6996603535354,81.5567523809524,68.1567883597884,NA,NA,NA,NA
